Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2022","2022","toneladas","70000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2013","2013","toneladas","8944","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2014","2014","toneladas","9203.03","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2015","2015","toneladas","7416.54","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2016","2016","toneladas","7539.75","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2017","2017","toneladas","6780","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2018","2018","toneladas","7680","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2019","2019","toneladas","7800","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2020","2020","toneladas","7500","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2021","2021","toneladas","9100","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","192","Cuba","5510","Producción","01610","Café, verde","2022","2022","toneladas","6252","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2013","2013","toneladas","370.55","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2014","2014","toneladas","370.3","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2015","2015","toneladas","370.1","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2016","2016","toneladas","369.63","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2017","2017","toneladas","369.36","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2018","2018","toneladas","369.7","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","212","Dominica","5510","Producción","01610","Café, verde","2019","2019","toneladas","369.56","E","Valor estimado",""
